Symbol|| time0|| price0|| time1|| price1|| object_name|| text
EURUSD|| 2024.10.14 15:46|| 1.09106000|| 2024.10.14 16:45|| 1.09213000|| autotrade #51666751521 -> #51667061837, TP, profit 2.14, EURUSD|| 1.09106 -> 1.09213
EURUSD|| 2024.10.14 14:41|| 1.09157000|| 2024.10.14 15:38|| 1.09079000|| autotrade #51666449966 -> #51666706457, SL, profit -0.78, EURUS|| 1.09157 -> 1.09079
EURUSD|| 2024.10.14 10:02|| 1.09254000|| 2024.10.14 14:27|| 1.09159000|| autotrade #51665472321 -> #51666403883, TP, profit 0.95, EURUSD|| 1.09254 -> 1.09159
EURUSD|| 2024.10.11 10:09|| 1.09379000|| 2024.10.11 11:28|| 1.09497000|| autotrade #51661503205 -> #51661775122, TP, profit 1.18, EURUSD|| 1.09379 -> 1.09497
EURUSD|| 2024.10.11 08:55|| 1.09331000|| 2024.10.11 09:06|| 1.09336000|| autotrade #51661277940 -> #51661302797, profit -0.05, EURUSD|| 1.09331 -> 1.09336
EURUSD|| 2024.10.10 11:08|| 1.09339000|| 2024.10.10 13:11|| 1.09317000|| autotrade #51657309004 -> #51657650913, profit 0.22, EURUSD|| 1.09339 -> 1.09317
EURUSD|| 2024.10.10 07:34|| 1.09408000|| 2024.10.10 08:25|| 1.09370000|| autotrade #51656733928 -> #51656820609, SL, profit -0.38, EURUS|| 1.09408 -> 1.09370
EURUSD|| 2024.10.09 18:57|| 1.09502000|| 2024.10.09 19:05|| 1.09469000|| autotrade #51655463710 -> #51655485856, SL, profit 0.33, EURUSD|| 1.09502 -> 1.09469
EURUSD|| 2024.10.09 18:43|| 1.09520000|| 2024.10.09 18:53|| 1.09515000|| autotrade #51655423508 -> #51655452874, profit 0.05, EURUSD|| 1.09520 -> 1.09515
EURUSD|| 2024.10.09 18:08|| 1.09531000|| 2024.10.09 18:27|| 1.09562000|| autotrade #51655258431 -> #51655356340, SL, profit -0.31, EURUS|| 1.09531 -> 1.09562
EURUSD|| 2024.10.09 12:26|| 1.09617000|| 2024.10.09 12:39|| 1.09640000|| autotrade #51653753055 -> #51653788887, TP, profit 0.23, EURUSD|| 1.09617 -> 1.09640
EURUSD|| 2024.10.09 10:58|| 1.09591000|| 2024.10.09 11:15|| 1.09635000|| autotrade #51653468197 -> #51653522422, profit -0.44, EURUSD|| 1.09591 -> 1.09635
EURUSD|| 2024.10.08 15:48|| 1.09765000|| 2024.10.08 16:05|| 1.09787000|| autotrade #51650211361 -> #51650288715, profit 0.22, EURUSD|| 1.09765 -> 1.09787
